,averageRating,datePublished,genre,name,ratingCount,releasedCountry
15454,5.2,1981.0,Action,Enter the Ninja,3546.0,USA
15455,5.2,1981.0,Crime,Enter the Ninja,3546.0,USA
15456,5.2,1981.0,Drama,Enter the Ninja,3546.0,USA
15457,5.2,1981.0,Thriller,Enter the Ninja,3546.0,USA
15458,8.0,2018.0,Crime,The Rookie,2292.0,2018– 
15459,8.0,2018.0,Drama,The Rookie,2292.0,2018– 
15478,6.8,2003.0,Horror,Haute tension,61382.0,USA
15479,6.8,2003.0,Thriller,Haute tension,61382.0,USA
15480,6.1,2017.0,Action,Kodoku: Mîtobôru mashin,212.0,Japan
15481,6.1,2017.0,Comedy,Kodoku: Mîtobôru mashin,212.0,Japan
15482,6.1,2017.0,Horror,Kodoku: Mîtobôru mashin,212.0,Japan
15483,6.1,2017.0,Sci-Fi,Kodoku: Mîtobôru mashin,212.0,Japan
15484,6.1,2017.0,Thriller,Kodoku: Mîtobôru mashin,212.0,Japan
15485,2.7,2017.0,Action,Machine,538.0,India
15486,2.7,2017.0,Mystery,Machine,538.0,India
15487,2.7,2017.0,Romance,Machine,538.0,India
15488,2.7,2017.0,Thriller,Machine,538.0,India
15489,6.2,1970.0,Comedy,Beyond the Valley of the Dolls,8782.0,USA
15490,6.2,1970.0,Drama,Beyond the Valley of the Dolls,8782.0,USA
15491,6.2,1970.0,Music,Beyond the Valley of the Dolls,8782.0,USA
15492,6.2,1988.0,Drama,Monkey Shines,9274.0,USA
15493,6.2,1988.0,Horror,Monkey Shines,9274.0,USA
15494,6.2,1988.0,Sci-Fi,Monkey Shines,9274.0,USA
15495,6.2,1988.0,Thriller,Monkey Shines,9274.0,USA
15496,4.3,2017.0,Horror,Escape Room,3014.0,Taiwan
15497,4.3,2017.0,Thriller,Escape Room,3014.0,Taiwan
15498,7.2,1980.0,Comedy,The Ninth Configuration,5165.0,USA
15499,7.2,1980.0,Drama,The Ninth Configuration,5165.0,USA
15500,7.2,1980.0,Horror,The Ninth Configuration,5165.0,USA
15501,7.2,1980.0,Mystery,The Ninth Configuration,5165.0,USA
15502,7.2,1980.0,Thriller,The Ninth Configuration,5165.0,USA
15503,5.7,1990.0,Action,Sheng zhan feng yun,158.0,Hong Kong
15504,5.7,1990.0,Crime,Sheng zhan feng yun,158.0,Hong Kong
15505,5.7,1990.0,Thriller,Sheng zhan feng yun,158.0,Hong Kong
15523,6.5,2013.0,Action,Snitch,74869.0,USA
15524,6.5,2013.0,Drama,Snitch,74869.0,USA
15525,6.5,2013.0,Thriller,Snitch,74869.0,USA
15531,7.5,2015.0,Comedy,Kapan kawin?,162.0,Indonesia
15532,7.5,2015.0,Romance,Kapan kawin?,162.0,Indonesia
15539,4.8,2013.0,Animation,Cheech & Chong's Animated Movie,741.0,USA
15540,4.8,2013.0,Comedy,Cheech & Chong's Animated Movie,741.0,USA
15541,7.8,2017.0,Short,Search/Destroy: A Strontium Dog Fan Film,31.0,UK
15542,7.8,2017.0,Action,Search/Destroy: A Strontium Dog Fan Film,31.0,UK
15543,7.8,2017.0,Drama,Search/Destroy: A Strontium Dog Fan Film,31.0,UK
15544,7.8,2017.0,Fantasy,Search/Destroy: A Strontium Dog Fan Film,31.0,UK
15545,7.8,2017.0,Sci-Fi,Search/Destroy: A Strontium Dog Fan Film,31.0,UK
15546,7.6,1940.0,Comedy,Christmas in July,2737.0,USA
15547,7.6,1940.0,Romance,Christmas in July,2737.0,USA
15554,7.6,2018.0,Documentary,RBG,3389.0,Sweden
15555,7.6,2018.0,Biography,RBG,3389.0,Sweden
15556,5.6,1999.0,Animation,Avengers,637.0,1999–2000
15557,5.6,1999.0,Action,Avengers,637.0,1999–2000
15558,5.6,1999.0,Adventure,Avengers,637.0,1999–2000
15559,5.6,1999.0,Sci-Fi,Avengers,637.0,1999–2000
15560,5.3,1985.0,Action,Nudo e selvaggio,1284.0,Italy
15561,5.3,1985.0,Adventure,Nudo e selvaggio,1284.0,Italy
15562,5.3,1985.0,Horror,Nudo e selvaggio,1284.0,Italy
15580,8.1,2008.0,Short,I Heard the Mermaids Singing,40.0,USA
15581,8.1,2008.0,Drama,I Heard the Mermaids Singing,40.0,USA
15582,8.1,2008.0,Romance,I Heard the Mermaids Singing,40.0,USA
15583,7.6,2014.0,Documentary,Murder Comes to Town,246.0,2014– 
15584,7.6,2014.0,Crime,Murder Comes to Town,246.0,2014– 
15585,7.6,2014.0,Mystery,Murder Comes to Town,246.0,2014– 
15586,6.9,2003.0,Comedy,Caterina va in città,2433.0,Italy
